symbol,name,sector,weight
FMC,FMC CORP,-,0.00225
FN,FABRINET,-,0.035334
FNB,FNB CORP,-,0.008613
FND,FLOOR + DECOR HOLDINGS INC A,-,0.007563
FNF,FIDELITY NATIONAL FINANCIAL,-,0.017263
FORM,FORMFACTOR INC,-,0.01414
FOUR,SHIFT4 PAYMENTS INC CLASS A,-,0.003686
FOX,FOX CORP   CLASS B,-,0.012756
FOXA,FOX CORP   CLASS A,-,0.018317
FOXF,FOX FACTORY HOLDING CORP,-,0.000988
FR,FIRST INDUSTRIAL REALTY TR,-,0.011869
FRPT,FRESHPET INC,-,0.004423
FRT,FEDERAL REALTY INVS TRUST,-,0.012804
FSLR,FIRST SOLAR INC,-,0.048876
FSS,FEDERAL SIGNAL CORP,-,0.009561
FTDR,FRONTDOOR INC,-,0.007484
FTI,TECHNIPFMC PLC,-,0.041561
FTNT,FORTINET INC,-,0.138281
FTRE,FORTREA HOLDINGS INC,-,0.002378
FTV,FORTIVE CORP,-,0.030343
FUL,H.B. FULLER CO.,-,0.004766
FULT,FULTON FINANCIAL CORP,-,0.005391
FUN,SIX FLAGS ENTERTAINMENT CORP,-,0.001546
FWRD,FORWARD AIR CORP,-,0.000409
G,GENPACT LTD,-,0.008163
GAP,GAP INC/THE,-,0.006625
GATX,GATX CORP,-,0.008365
GBCI,GLACIER BANCORP INC,-,0.006503
GBX,GREENBRIER COMPANIES INC,-,0.002197
GD,GENERAL DYNAMICS CORP,-,0.125404
GDDY,GODADDY INC   CLASS A,-,0.017898
GDYN,GRID DYNAMICS HOLDINGS INC,-,0.000618
GE,GENERAL ELECTRIC,-,0.485348
GEF,GREIF INC CL A,-,0.001709
GEHC,GE HEALTHCARE TECHNOLOGY,-,0.043531
GEN,GEN DIGITAL INC,-,0.022446
GEO,GEO GROUP INC/THE,-,0.005063
GEV,GE VERNOVA INC,-,0.37024
GFF,GRIFFON CORP,-,0.006032
GGG,GRACO INC,-,0.018098
GHC,GRAHAM HOLDINGS CO CLASS B,-,0.008871
GIII,G III APPAREL GROUP LTD,-,0.002263
GILD,GILEAD SCIENCES INC,-,0.228603
GIS,GENERAL MILLS INC,-,0.024444
GKOS,GLAUKOS CORP,-,0.007782
GL,GLOBE LIFE INC,-,0.019115
GLPI,GAMING AND LEISURE PROPERTIE,-,0.017779
GLW,CORNING INC,-,0.218814
GM,GENERAL MOTORS CO,-,0.107949
GME,GAMESTOP CORP CLASS A,-,0.014453
GMED,GLOBUS MEDICAL INC   A,-,0.012752
GNL,GLOBAL NET LEASE INC,-,0.001483
GNRC,GENERAC HOLDINGS INC,-,0.025121
GNTX,GENTEX CORP,-,0.008823
GNW,GENWORTH FINANCIAL INC,-,0.005719
GO,GROCERY OUTLET HOLDING CORP,-,0.000941
GOGO,GOGO INC,-,0.000399
GOLF,ACUSHNET HOLDINGS CORP,-,0.003524
GOOG,ALPHABET INC CL C,-,2.475302
GOOGL,ALPHABET INC CL A,-,3.095159
GPC,GENUINE PARTS CO,-,0.020078
GPI,GROUP 1 AUTOMOTIVE INC,-,0.006309
GPK,GRAPHIC PACKAGING HOLDING CO,-,0.004767
GPN,GLOBAL PAYMENTS INC,-,0.025385
GRBK,GREEN BRICK PARTNERS INC,-,0.002614
GRMN,GARMIN LTD,-,0.052648
GS,GOLDMAN SACHS GROUP INC,-,0.463534
GSHD,GOOSEHEAD INSURANCE INC  A,-,0.001303
GT,GOODYEAR TIRE + RUBBER CO,-,0.002315
GTES,GATES INDUSTRIAL CORP PLC,-,0.007276
GTLS,CHART INDUSTRIES INC,-,0.011151
GTM,ZOOMINFO TECHNOLOGIES INC,-,0.001204
GTY,GETTY REALTY CORP,-,0.00181
GVA,GRANITE CONSTRUCTION INC,-,0.010387
GWRE,GUIDEWIRE SOFTWARE INC,-,0.018307
GWW,WW GRAINGER INC,-,0.083829
GXO,GXO LOGISTICS INC,-,0.008554
H,HYATT HOTELS CORP   CL A,-,0.012588
HAE,HAEMONETICS CORP/MASS,-,0.004944
HAFC,HANMI FINANCIAL CORPORATION,-,0.001473
HAL,HALLIBURTON CO,-,0.052718
HALO,HALOZYME THERAPEUTICS INC,-,0.013399
HAS,HASBRO INC,-,0.016126
HASI,HA SUSTAINABLE INFRASTRUCTUR,-,0.006355
HAYW,HAYWARD HOLDINGS INC,-,0.002659
HBAN,HUNTINGTON BANCSHARES INC,-,0.045526
HCA,HCA HEALTHCARE INC,-,0.082404
HCC,WARRIOR MET COAL INC,-,0.006062
HCI,HCI GROUP INC,-,0.001549
HCSG,HEALTHCARE SERVICES GROUP,-,0.002207
HD,HOME DEPOT INC,-,0.437603
HE,HAWAIIAN ELECTRIC INDS,-,0.003293
HFWA,HERITAGE FINANCIAL CORP,-,0.001318
HGV,HILTON GRAND VACATIONS INC,-,0.005498
HIG,HARTFORD INSURANCE GROUP INC,-,0.050571
HII,HUNTINGTON INGALLS INDUSTRIE,-,0.018278
HIMS,HIMS + HERS HEALTH INC,-,0.007707
HIW,HIGHWOODS PROPERTIES INC,-,0.004246
HL,HECLA MINING CO,-,0.01588
HLI,HOULIHAN LOKEY INC,-,0.010717
HLIT,HARMONIC INC,-,0.002693
HLNE,HAMILTON LANE INC CLASS A,-,0.004211
HLT,HILTON WORLDWIDE HOLDINGS IN,-,0.10926
HLX,HELIX ENERGY SOLUTIONS GROUP,-,0.002005
HMN,HORACE MANN EDUCATORS,-,0.002605
HNI,HNI CORP,-,0.001994
HOG,HARLEY DAVIDSON INC,-,0.004436
HOMB,HOME BANCSHARES INC,-,0.006394
HON,HONEYWELL INTERNATIONAL INC,-,0.194765
HOOD,ROBINHOOD MARKETS INC   A,-,0.09762
HOPE,HOPE BANCORP INC,-,0.002415
HP,HELMERICH + PAYNE,-,0.006443
HPE,HEWLETT PACKARD ENTERPRISE,-,0.100316
HPQ,HP INC,-,0.033506
HQY,HEALTHEQUITY INC,-,0.009634
HR,HEALTHCARE REALTY TRUST INC,-,0.009533
HRB,H+R BLOCK INC,-,0.007734
HRL,HORMEL FOODS CORP,-,0.009652
HRMY,HARMONY BIOSCIENCES HOLDINGS,-,0.001249
HSIC,HENRY SCHEIN INC,-,0.008909
HST,HOST HOTELS + RESORTS INC,-,0.024877
HSTM,HEALTHSTREAM INC,-,0.001197
HSY,HERSHEY CO/THE,-,0.039265
HTH,HILLTOP HOLDINGS INC,-,0.003106
HTLD,HEARTLAND EXPRESS INC,-,0.001145
HTO,H2O AMERICA,-,0.003002
HTZ,HERTZ GLOBAL HLDGS INC,-,0.001157
HUBB,HUBBELL INC,-,0.038547
HUBG,HUB GROUP INC CL A,-,0.004139
HUM,HUMANA INC,-,0.062375
HWC,HANCOCK WHITNEY CORP,-,0.009092
HWKN,HAWKINS INC,-,0.004687
HWM,HOWMET AEROSPACE INC,-,0.142415
HXL,HEXCEL CORP,-,0.011069
HZO,MARINEMAX INC,-,0.000884
IART,INTEGRA LIFESCIENCES HOLDING,-,0.001804
IBKR,INTERACTIVE BROKERS GRO CL A,-,0.054188
IBM,INTL BUSINESS MACHINES CORP,-,0.400177
IBOC,INTERNATIONAL BANCSHARES CRP,-,0.00594
IBP,INSTALLED BUILDING PRODUCTS,-,0.006709
ICE,INTERCONTINENTAL EXCHANGE IN,-,0.11262
ICHR,ICHOR HOLDINGS LTD,-,0.002164
ICUI,ICU MEDICAL INC,-,0.0036
IDA,IDACORP INC,-,0.010137
IDCC,INTERDIGITAL INC,-,0.011511
IDXX,IDEXX LABORATORIES INC,-,0.062563
IEX,IDEX CORP,-,0.023912
IFF,INTL FLAVORS + FRAGRANCES,-,0.026339
IIIN,INSTEEL INDUSTRIES INC,-,0.000702
IIPR,INNOVATIVE INDUSTRIAL PROPER,-,0.002116
ILMN,ILLUMINA INC,-,0.038643
INCY,INCYTE CORP,-,0.026862
INDB,INDEPENDENT BANK CORP/MA,-,0.004441
INDV,INDIVIOR PHARMACEUTICALS INC,-,0.006681
INGR,INGREDION INC,-,0.009506
INSP,INSPIRE MEDICAL SYSTEMS INC,-,0.001546
INSW,INTERNATIONAL SEAWAYS INC,-,0.004583
INTC,INTEL CORP,-,0.745678
INTU,INTUIT INC,-,0.120126
INVA,INNOVIVA INC,-,0.001985
INVH,INVITATION HOMES INC,-,0.02455
INVX,INNOVEX INTERNATIONAL INC,-,0.001396
IOSP,INNOSPEC INC,-,0.003106
IP,INTERNATIONAL PAPER CO,-,0.02558
IPAR,INTERPARFUMS INC,-,0.002148
IPGP,IPG PHOTONICS CORP,-,0.00595
IQV,IQVIA HOLDINGS INC,-,0.045073
IR,INGERSOLL RAND INC,-,0.035249
IRDM,IRIDIUM COMMUNICATIONS INC,-,0.009677
IRM,IRON MOUNTAIN INC,-,0.054651
IRT,INDEPENDENCE REALTY TRUST IN,-,0.005751
ISRG,INTUITIVE SURGICAL INC,-,0.209581
IT,GARTNER INC,-,0.018691
ITGR,INTEGER HOLDINGS CORP,-,0.004299
ITRI,ITRON INC,-,0.004871
ITT,ITT INC,-,0.024336
ITW,ILLINOIS TOOL WORKS,-,0.095498
IVZ,INVESCO LTD,-,0.016085
J,JACOBS SOLUTIONS INC,-,0.023316
JAZZ,JAZZ PHARMACEUTICALS PLC,-,0.020079
JBGS,JBG SMITH PROPERTIES,-,0.002269
JBHT,HUNT (JB) TRANSPRT SVCS INC,-,0.026639
JBL,JABIL INC,-,0.056546
JBLU,JETBLUE AIRWAYS CORP,-,0.002135
JBSS,JOHN B. SANFILIPPO + SON INC,-,0.000702
JBTM,JBT MAREL CORP,-,0.008329
JCI,JOHNSON CONTROLS INTERNATION,-,0.125458
JEF,JEFFERIES FINANCIAL GROUP IN,-,0.013469
JHG,JANUS HENDERSON GROUP PLC,-,0.011085
JJSF,J + J SNACK FOODS CORP,-,0.001637
JKHY,JACK HENRY + ASSOCIATES INC,-,0.014533
JLL,JONES LANG LASALLE INC,-,0.021584
JNJ,JOHNSON + JOHNSON,-,0.779981
JOE,ST JOE CO/THE,-,0.003084
JPM,JPMORGAN CHASE + CO,-,1.190969
JXN,JACKSON FINANCIAL INC A,-,0.009474
KAI,KADANT INC,-,0.005249
KALU,KAISER ALUMINUM CORP,-,0.004546
KBH,KB HOME,-,0.006556
KBR,KBR INC,-,0.007366
KD,KYNDRYL HOLDINGS INC,-,0.003291
KDP,KEURIG DR PEPPER INC,-,0.058577
KEX,KIRBY CORP,-,0.011621
KEY,KEYCORP,-,0.030257
KEYS,KEYSIGHT TECHNOLOGIES IN,-,0.081011
KFY,KORN FERRY,-,0.005517
KGS,KODIAK GAS SERVICES INC,-,0.004052
KHC,KRAFT HEINZ CO/THE,-,0.02598
KIM,KIMCO REALTY CORP,-,0.023202
KKR,KKR + CO INC,-,0.092289
KLAC,KLA CORP,-,0.396558
KLIC,KULICKE + SOFFA INDUSTRIES,-,0.009598
KMB,KIMBERLY CLARK CORP,-,0.0458
KMI,KINDER MORGAN INC,-,0.089272
KMPR,KEMPER CORP,-,0.001976
KMT,KENNAMETAL INC,-,0.003962
KMX,CARMAX INC,-,0.011158
KN,KNOWLES CORP,-,0.005353
KNF,KNIFE RIVER CORP,-,0.005831
KNSL,KINSALE CAPITAL GROUP INC,-,0.008919
KNTK,KINETIK HOLDINGS INC,-,0.00255
KNX,KNIGHT SWIFT TRANSPORTATION,-,0.019667
KO,COCA COLA CO/THE,-,0.420003
KOP,KOPPERS HOLDINGS INC,-,0.001052
KR,KROGER CO,-,0.053013
KRC,KILROY REALTY CORP,-,0.00546
KRG,KITE REALTY GROUP TRUST,-,0.008761
KRYS,KRYSTAL BIOTECH INC,-,0.011462
KSS,KOHLS CORP,-,0.00255
KTB,KONTOOR BRANDS INC,-,0.004659
KTOS,KRATOS DEFENSE + SECURITY,-,0.01725
KVUE,KENVUE INC,-,0.046882
KW,KENNEDY WILSON HOLDINGS INC,-,0.001891
KWR,QUAKER CHEMICAL CORPORATION,-,0.002834
L,LOEWS CORP,-,0.027971
LAD,LITHIA MOTORS INC,-,0.012177
LAMR,LAMAR ADVERTISING CO A,-,0.019442
LAUR,LAUREATE EDUCATION INC,-,4.4e-05
LBRT,LIBERTY ENERGY INC,-,0.007164
LCII,LCI INDUSTRIES,-,0.003828
LDOS,LEIDOS HOLDINGS INC,-,0.024315
LEA,LEAR CORP,-,0.011774
LECO,LINCOLN ELECTRIC HOLDINGS,-,0.022968
LEG,LEGGETT + PLATT INC,-,0.001969
LEN,LENNAR CORP W/D,-,0.029028
LFST,LIFESTANCE HEALTH GROUP INC,-,0.002109
LFUS,LITTELFUSE INC,-,0.018478
LGIH,LGI HOMES INC,-,0.001186
LGND,LIGAND PHARMACEUTICALS,-,0.005349
LH,LABCORP HOLDINGS INC,-,0.032282
LHX,L3HARRIS TECHNOLOGIES INC,-,0.08476
LIF,LIFE360 INC,-,3.5e-05
LII,LENNOX INTERNATIONAL INC,-,0.024909
LIN,LINDE PLC,-,0.334104
LITE,LUMENTUM HOLDINGS INC,-,0.093319
LIVN,LIVANOVA PLC,-,0.005685
LKFN,LAKELAND FINANCIAL CORP,-,0.002278
LKQ,LKQ CORP,-,0.010128
LLY,ELI LILLY + CO,-,1.269247
LMAT,LEMAITRE VASCULAR INC,-,0.002226
LMT,LOCKHEED MARTIN CORP,-,0.149494
LNC,LINCOLN NATIONAL CORP,-,0.008672
LNN,LINDSAY CORP,-,0.002039
LNT,ALLIANT ENERGY CORP,-,0.026058
LNTH,LANTHEUS HOLDINGS INC,-,0.00999
LOPE,GRAND CANYON EDUCATION INC,-,0.006564
LOW,LOWE S COS INC,-,0.164065
LPG,DORIAN LPG LTD,-,0.00197
LPX,LOUISIANA PACIFIC CORP,-,0.006705
LQDT,LIQUIDITY SERVICES INC,-,0.001412
LRCX,LAM RESEARCH CORP,-,0.596397
LRN,STRIDE INC,-,0.00614
LSCC,LATTICE SEMICONDUCTOR CORP,-,0.029866
LSTR,LANDSTAR SYSTEM INC,-,0.011833
LTC,LTC PROPERTIES INC,-,0.002097
LTH,LIFE TIME GROUP HOLDINGS INC,-,4.8e-05
LULU,LULULEMON ATHLETICA INC,-,0.020812
LUMN,LUMEN TECHNOLOGIES INC,-,0.014234
LUV,SOUTHWEST AIRLINES CO,-,0.028168
LVS,LAS VEGAS SANDS CORP,-,0.020307
LW,LAMB WESTON HOLDINGS INC,-,0.009089
LXP,LXP INDUSTRIAL TRUST,-,0.004044
LYB,LYONDELLBASELL INDU CL A,-,0.024589
LYFT,LYFT INC A,-,5.4e-05
LYV,LIVE NATION ENTERTAINMENT IN,-,0.033805
LZ,LEGALZOOMCOM INC,-,0.000951
LZB,LA Z BOY INC,-,0.002462
M,MACY S INC,-,0.010138
MA,MASTERCARD INC   A,-,0.560051
MAA,MID AMERICA APARTMENT COMM,-,0.023078
MAC,MACERICH CO/THE,-,0.007369
MAN,MANPOWERGROUP INC,-,0.002595
MANH,MANHATTAN ASSOCIATES INC,-,0.013652
MAR,MARRIOTT INTERNATIONAL  CL A,-,0.117715
MARA,MARA HOLDINGS INC,-,0.004772
MAS,MASCO CORP,-,0.022664
MASI,MASIMO CORP,-,0.012058
MAT,MATTEL INC,-,0.007205
MATW,MATTHEWS INTL CORP CLASS A,-,0.001227
MATX,MATSON INC,-,0.009328
MBC,MASTERBRAND INC,-,0.002662
MBIN,MERCHANTS BANCORP/IN,-,0.001987
MC,MOELIS + CO   CLASS A,-,0.006783
MCD,MCDONALD S CORP,-,0.274439
MCHP,MICROCHIP TECHNOLOGY INC,-,0.074387
MCK,MCKESSON CORP,-,0.129901
MCO,MOODY S CORP,-,0.097855
MCRI,MONARCH CASINO + RESORT INC,-,0.002648
MCY,MERCURY GENERAL CORP,-,0.003935
MD,PEDIATRIX MEDICAL GROUP INC,-,0.002846
MDLZ,MONDELEZ INTERNATIONAL INC A,-,0.111412
MDT,MEDTRONIC PLC,-,0.150085
MDU,MDU RESOURCES GROUP INC,-,0.006283
MEDP,MEDPACE HOLDINGS INC,-,0.015873
MET,METLIFE INC,-,0.068717
META,META PLATFORMS INC CLASS A,-,1.950264
MGEE,MGE ENERGY INC,-,0.0038
MGM,MGM RESORTS INTERNATIONAL,-,0.01114
MGY,MAGNOLIA OIL + GAS CORP   A,-,0.007584
MHK,MOHAWK INDUSTRIES INC,-,0.008854
MHO,M/I HOMES INC,-,0.004606
MIDD,MIDDLEBY CORP,-,0.012942
MIR,MIRION TECHNOLOGIES INC,-,0.004955
MKC,MCCORMICK + CO NON VTG SHRS,-,0.016928
MKSI,MKS INC,-,0.026311
MKTX,MARKETAXESS HOLDINGS INC,-,0.006808
MLI,MUELLER INDUSTRIES INC,-,0.021848
MLKN,MILLERKNOLL INC,-,0.001395
MLM,MARTIN MARIETTA MATERIALS,-,0.052067
MMI,MARCUS + MILLICHAP INC,-,0.001118
MMM,3M CO,-,0.117769
MMS,MAXIMUS INC,-,0.005476
MMSI,MERIT MEDICAL SYSTEMS INC,-,0.004692
MNRO,MONRO INC,-,0.000758
MNST,MONSTER BEVERAGE CORP,-,0.086703
MO,ALTRIA GROUP INC,-,0.171326
MOG-A,MOOG INC CLASS A,-,0.015965
MOH,MOLINA HEALTHCARE INC,-,0.016628
MORN,MORNINGSTAR INC,-,0.007179
MOS,MOSAIC CO/THE,-,0.011348
MP,MP MATERIALS CORP,-,0.008171
MPC,MARATHON PETROLEUM CORP,-,0.114764
MPT,MEDICAL PROPERTIES TRUST INC,-,0.004021
MPWR,MONOLITHIC POWER SYSTEMS INC,-,0.113868
MRCY,MERCURY SYSTEMS INC,-,0.009027
MRK,MERCK + CO. INC.,-,0.424742
MRNA,MODERNA INC,-,0.024869
MRP,MILLROSE PROPERTIES W/I,-,0.00564
MRSH,MARSH + MCLENNAN COS,-,0.112339
MRTN,MARTEN TRANSPORT LTD,-,0.001452
MS,MORGAN STANLEY,-,0.374349
MSA,MSA SAFETY INC,-,0.008138
MSCI,MSCI INC,-,0.062205
MSEX,MIDDLESEX WATER CO,-,0.001262
MSFT,MICROSOFT CORP,-,4.509551
MSGS,MADISON SQUARE GARDEN SPORTS,-,0.009748
MSI,MOTOROLA SOLUTIONS INC,-,0.099791
MSM,MSC INDUSTRIAL DIRECT CO A,-,0.007844
MTB,M + T BANK CORP,-,0.047
MTCH,MATCH GROUP INC,-,0.013758
MTD,METTLER TOLEDO INTERNATIONAL,-,0.035044
MTDR,MATADOR RESOURCES CO,-,0.008898
MTG,MGIC INVESTMENT CORP,-,0.009938
MTH,MERITAGE HOMES CORP,-,0.007044
MTN,VAIL RESORTS INC,-,0.007402
MTRN,MATERION CORP,-,0.005623
MTSI,MACOM TECHNOLOGY SOLUTIONS H,-,0.028248
MTUS,METALLUS INC,-,0.000715
MTX,MINERALS TECHNOLOGIES INC,-,0.003664
MTZ,MASTEC INC,-,0.031667
MU,MICRON TECHNOLOGY INC,-,1.587617
MUR,MURPHY OIL CORP,-,0.008546
MUSA,MURPHY USA INC,-,0.013179
MWA,MUELLER WATER PRODUCTS INC A,-,0.00732
MXL,MAXLINEAR INC,-,0.009767
MYRG,MYR GROUP INC/DELAWARE,-,0.010552
MZTI,MARZETTI COMPANY/THE,-,0.002438
NABL,N ABLE INC,-,0.000386
NATL,NCR ATLEOS CORP,-,0.004307
NAVI,NAVIENT CORP,-,0.000682
NBHC,NATIONAL BANK HOLD CL A,-,0.002197
NBIX,NEUROCRINE BIOSCIENCES INC,-,0.023118
NBTB,N B T BANCORP INC,-,0.003303
NCLH,NORWEGIAN CRUISE LINE HOLDIN,-,0.011893
NDAQ,NASDAQ INC,-,0.053278
NDSN,NORDSON CORP,-,0.02166
NE,NOBLE CORP PLC,-,0.008321
NEE,NEXTERA ENERGY INC,-,0.253096
NEM,NEWMONT CORP,-,0.169422
NEO,NEOGENOMICS INC,-,0.002025
NEOG,NEOGEN CORP,-,0.002385
NEU,NEWMARKET CORP,-,0.008474
NFG,NATIONAL FUEL GAS CO,-,0.009951
NFLX,NETFLIX INC,-,0.486902
NGVT,INGEVITY CORP,-,0.003759
NHC,NATIONAL HEALTHCARE CORP,-,0.003766
NI,NISOURCE INC,-,0.026645
NJR,NEW JERSEY RESOURCES CORP,-,0.007248
NKE,NIKE INC  CL B,-,0.074453
NLY,ANNALY CAPITAL MANAGEMENT IN,-,0.015063
NMIH,NMI HOLDINGS INC,-,0.003337
NNN,NNN REIT INC,-,0.011356
NOC,NORTHROP GRUMMAN CORP,-,0.105975
NOG,NORTHERN OIL AND GAS INC,-,0.002336
NOV,NOV INC,-,0.012216
NOVT,NOVANTA INC,-,0.008178
NOW,SERVICENOW INC,-,0.17801
NPK,NATIONAL PRESTO INDS INC,-,0.002981
NPO,ENPRO INC,-,0.008744
NRG,NRG ENERGY INC,-,0.036797
NSA,NATIONAL STORAGE AFFILIATES,-,0.004779
NSC,NORFOLK SOUTHERN CORP,-,0.101199
NSIT,INSIGHT ENTERPRISES INC,-,0.00487
NSP,INSPERITY INC,-,0.00164
NSSC,NAPCO SECURITY TECHNOLOGIES,-,0.0018
NTAP,NETAPP INC,-,0.053897
NTCT,NETSCOUT SYSTEMS INC,-,0.004367
NTNX,NUTANIX INC   A,-,0.021051
NTRS,NORTHERN TRUST CORP,-,0.044234
NUE,NUCOR CORP,-,0.084617
NVDA,NVIDIA CORP,-,7.539858
NVR,NVR INC,-,0.022109
NVST,ENVISTA HOLDINGS CORP,-,0.005348
NVT,NVENT ELECTRIC PLC,-,0.040963
NWBI,NORTHWEST BANCSHARES INC,-,0.00238
NWE,NORTHWESTERN ENERGY GROUP IN,-,0.005516
NWL,NEWELL BRANDS INC,-,0.002152
NWN,NORTHWEST NATURAL HOLDING CO,-,0.002433
NWS,NEWS CORP   CLASS B,-,0.0054
NWSA,NEWS CORP   CLASS A,-,0.015248
NX,QUANEX BUILDING PRODUCTS,-,0.000894
NXPI,NXP SEMICONDUCTORS NV,-,0.112694
NXRT,NEXPOINT RESIDENTIAL,-,0.000784
NXST,NEXSTAR MEDIA GROUP INC,-,0.008397
NXT,NEXTPOWER INC CL A,-,0.027285
NYT,NEW YORK TIMES CO A,-,0.016226
O,REALTY INCOME CORP,-,0.071657
OC,OWENS CORNING,-,0.015585
ODFL,OLD DOMINION FREIGHT LINE,-,0.064233
OFG,OFG BANCORP,-,0.003147
OGE,OGE ENERGY CORP,-,0.013801
OGN,ORGANON + CO,-,0.004916
OGS,ONE GAS INC,-,0.006134
OHI,OMEGA HEALTHCARE INVESTORS,-,0.015072
OI,O I GLASS INC,-,0.001797
OII,OCEANEERING INTL INC,-,0.005981
OKE,ONEOK INC,-,0.075715
OKTA,OKTA INC,-,0.029002
OLED,UNIVERSAL DISPLAY CORP,-,0.00576
OLLI,OLLIE S BARGAIN OUTLET HOLDI,-,0.005993
OLN,OLIN CORP,-,0.004401
OMC,OMNICOM GROUP,-,0.036381
OMCL,OMNICELL INC,-,0.002439
ON,ON SEMICONDUCTOR,-,0.06896
ONB,OLD NATIONAL BANCORP,-,0.01013
ONTO,ONTO INNOVATION INC,-,0.018169
OPCH,OPTION CARE HEALTH INC,-,0.005193
OPLN,OPENLANE INC,-,0.006585
ORA,ORMAT TECHNOLOGIES INC,-,0.009938
ORCL,ORACLE CORP,-,0.565383
ORI,OLD REPUBLIC INTL CORP,-,0.010623
ORLY,O REILLY AUTOMOTIVE INC,-,0.108227
OSIS,OSI SYSTEMS INC,-,0.005014
OSK,OSHKOSH CORP,-,0.013004
OSW,ONESPAWORLD HOLDINGS LTD,-,0.003491
OTIS,OTIS WORLDWIDE CORP,-,0.036595
OTTR,OTTER TAIL CORP,-,0.00534
OUT,OUTFRONT MEDIA INC,-,0.005112
OVV,OVINTIV INC,-,0.021937
OXM,OXFORD INDUSTRIES INC,-,0.001095
OXY,OCCIDENTAL PETROLEUM CORP,-,0.056839
OZK,BANK OZK,-,0.008448
P,EVERPURE INC A,-,0.033582
PAG,PENSKE AUTOMOTIVE GROUP INC,-,0.005642
PAHC,PHIBRO ANIMAL HEALTH CORP A,-,0.00082
PANW,PALO ALTO NETWORKS INC,-,0.315885
PARR,PAR PACIFIC HOLDINGS INC,-,0.004213
PATH,UIPATH INC   CLASS A,-,0.006994
PATK,PATRICK INDUSTRIES INC,-,0.003574
PAYC,PAYCOM SOFTWARE INC,-,0.009411
PAYO,PAYONEER GLOBAL INC,-,0.001564
PAYX,PAYCHEX INC,-,0.045956
PB,PROSPERITY BANCSHARES INC,-,0.009121
PBF,PBF ENERGY INC CLASS A,-,0.00693
PBH,PRESTIGE CONSUMER HEALTHCARE,-,0.00334
PBI,PITNEY BOWES INC,-,0.004117
PCAR,PACCAR INC,-,0.088736
PCG,P G + E CORP,-,0.051395
PCRX,PACIRA BIOSCIENCES INC,-,0.00147
PCTY,PAYLOCITY HOLDING CORP,-,0.006475
PDFS,PDF SOLUTIONS INC,-,0.002548
PEB,PEBBLEBROOK HOTEL TRUST,-,0.003139
PECO,PHILLIPS EDISON + COMPANY IN,-,0.006761
PEG,PUBLIC SERVICE ENTERPRISE GP,-,0.05694
PEGA,PEGASYSTEMS INC,-,0.004543
PEN,PENUMBRA INC,-,0.016866
PENG,PENGUIN SOLUTIONS INC,-,0.003569
PENN,PENN ENTERTAINMENT INC,-,0.004237
PEP,PEPSICO INC,-,0.270861
PFBC,PREFERRED BANK/LOS ANGELES,-,0.00201
PFE,PFIZER INC,-,0.205324
PFG,PRINCIPAL FINANCIAL GROUP,-,0.033156
PFGC,PERFORMANCE FOOD GROUP CO,-,0.021103
PFS,PROVIDENT FINANCIAL SERVICES,-,0.0026
PG,PROCTER + GAMBLE CO/THE,-,0.462384
PGNY,PROGYNY INC,-,0.003047
PGR,PROGRESSIVE CORP,-,0.161461
PH,PARKER HANNIFIN CORP,-,0.157824
PHIN,PHINIA INC,-,0.005691
PHM,PULTEGROUP INC,-,0.031437
PI,IMPINJ INC,-,0.003494
PII,POLARIS INC,-,0.005746
PINS,PINTEREST INC  CLASS A,-,0.016505
PIPR,PIPER SANDLER COS,-,0.006531
PJT,PJT PARTNERS INC   A,-,0.00538
PK,PARK HOTELS + RESORTS INC,-,0.004775
PKG,PACKAGING CORP OF AMERICA,-,0.030578
PLAB,PHOTRONICS INC,-,0.002966
PLD,PROLOGIS INC,-,0.191556
PLMR,PALOMAR HOLDINGS INC,-,0.003258
PLNT,PLANET FITNESS INC   CL A,-,0.00643
PLTR,PALANTIR TECHNOLOGIES INC A,-,0.459987
PLUS,EPLUS INC,-,0.003631
PLXS,PLEXUS CORP,-,0.012329
PM,PHILIP MORRIS INTERNATIONAL,-,0.388176
PMT,PENNYMAC MORTGAGE INVESTMENT,-,0.001468
PNC,PNC FINANCIAL SERVICES GROUP,-,0.125087
PNFP,PINNACLE FINANCIAL PARTNERS,-,0.021287
PNR,PENTAIR PLC,-,0.017681
PNW,PINNACLE WEST CAPITAL,-,0.017039
PODD,INSULET CORP,-,0.015099
POOL,POOL CORP,-,0.010272
POR,PORTLAND GENERAL ELECTRIC CO,-,0.006674
POST,POST HOLDINGS INC,-,0.006464
POWI,POWER INTEGRATIONS INC,-,0.00653
POWL,POWELL INDUSTRIES INC,-,0.014635
PPC,PILGRIM S PRIDE CORP,-,0.00208
PPG,PPG INDUSTRIES INC,-,0.038152
PPL,PPL CORP,-,0.038577
PPLI,PEOPLE INC,-,0.004416
PR,PERMIAN RESOURCES CORP CL A,-,0.021208
PRA,PROASSURANCE CORP,-,0.002181
PRAA,PRA GROUP INC,-,0.001007
PRDO,PERDOCEO EDUCATION CORP,-,0.003463
PRG,PROG HOLDINGS INC,-,0.001283
PRGO,PERRIGO CO PLC,-,0.002143
PRGS,PROGRESS SOFTWARE CORP,-,0.002144
PRI,PRIMERICA INC,-,0.012761
PRIM,PRIMORIS SERVICES CORP,-,0.009794
PRK,PARK NATIONAL CORP,-,0.003684
